user_id,home_location,preferred_payment_type,average_transaction_amount,transaction_amount_std_dev,favorite_merchants,active_start_hour,active_end_hour,known_devices,travel_frequency,risk_tolerance
U00073,Pune,Wallet,1707.56,923.77,Amazon|BookMyShow|Netflix|Paytm|MakeMyTrip,10,22,D00073-A|D00073-B,0.21,High
U00074,Pune,UPI,1225.09,707.02,Ola|Zerodha|Hotstar|Flipkart|Groww,8,22,D00074-A|D00074-B,0.12,Medium
U00075,Mumbai,UPI,907.96,451.17,Netflix|BigBasket|Zerodha|MakeMyTrip|BookMyShow,6,19,D00075-A|D00075-B,0.09,Medium
U00076,Pune,NetBanking,4457.87,1217.5,MakeMyTrip|Amazon|McDonalds|BookMyShow|Spotify,9,21,D00076-A|D00076-B,0.19,Medium
U00077,Hyderabad,UPI,3240.5,1772.91,Uber|BigBasket|Flipkart|Netflix|Groww,6,20,D00077-A|D00077-B,0.11,High
U00078,Bangalore,Wallet,2144.38,1058.09,PhonePe|Netflix|Myntra|Paytm|BigBasket,7,22,D00078-A|D00078-B,0.03,High
U00079,Bangalore,UPI,1619.8,893.86,Ola|Myntra|PhonePe|Groww|Spotify,7,22,D00079-A|D00079-B,0.03,Low
U00080,Delhi,Card,3745.57,1079.76,Starbucks|Groww|Zomato|Netflix|MakeMyTrip,7,23,D00080-A|D00080-B,0.1,Medium
U00081,Hyderabad,UPI,3411.49,2309.54,Flipkart|Hotstar|Starbucks|McDonalds|Zerodha,11,23,D00081-A|D00081-B,0.17,High
U00082,Pune,Wallet,1673.68,1116.81,Netflix|Zerodha|PhonePe|Swiggy|Paytm,7,23,D00082-A|D00082-B,0.11,Medium
U00083,Bangalore,Card,3694.08,1015.91,Paytm|Spotify|Myntra|MakeMyTrip|BigBasket,9,23,D00083-A|D00083-B,0.07,Medium
U00084,Ahmedabad,Card,4766.43,3209.36,IRCTC|Uber|Amazon|Myntra|BigBasket,7,20,D00084-A|D00084-B,0.08,High
U00085,Bangalore,UPI,676.96,418.63,Paytm|BigBasket|Zerodha|Spotify|PhonePe,11,20,D00085-A|D00085-B,0.25,High
U00086,Hyderabad,NetBanking,936.07,397.48,Groww|BookMyShow|Netflix|IRCTC|Myntra,8,19,D00086-A|D00086-B,0.07,Medium
U00087,Ahmedabad,NetBanking,666.66,451.47,Starbucks|Groww|Hotstar|Paytm|Uber,11,22,D00087-A|D00087-B,0.09,Medium
U00088,Ahmedabad,NetBanking,4795.02,1664.4,BigBasket|McDonalds|Myntra|BookMyShow|PhonePe,11,21,D00088-A|D00088-B,0.16,High
U00089,Delhi,NetBanking,2071.04,1003.15,Flipkart|Myntra|Uber|Paytm|IRCTC,7,19,D00089-A|D00089-B,0.25,High
U00090,Pune,Card,2996.26,1316.43,MakeMyTrip|PhonePe|Netflix|Amazon|Groww,7,19,D00090-A|D00090-B,0.02,Low
U00091,Pune,Card,2164.35,491.13,McDonalds|Zomato|Spotify|Flipkart|BigBasket,6,23,D00091-A|D00091-B,0.03,Medium
U00092,Mumbai,NetBanking,4045.49,2447.7,Zerodha|Starbucks|Flipkart|McDonalds|BookMyShow,11,22,D00092-A|D00092-B,0.23,Medium
U00093,Mumbai,Wallet,764.75,290.3,MakeMyTrip|Paytm|Zomato|Hotstar|Uber,9,20,D00093-A|D00093-B,0.23,High
U00094,Ahmedabad,UPI,2269.36,1072.37,Flipkart|Starbucks|Ola|BigBasket|Uber,11,19,D00094-A|D00094-B,0.03,Low
U00095,Delhi,UPI,2559.21,623.15,McDonalds|Groww|BookMyShow|Ola|Myntra,6,19,D00095-A|D00095-B,0.1,High
U00096,Hyderabad,NetBanking,3826.78,2395.42,Flipkart|Uber|BigBasket|Zomato|Groww,6,23,D00096-A|D00096-B,0.11,Low
U00097,Pune,NetBanking,2605.34,1409.66,Groww|Paytm|Spotify|McDonalds|Ola,8,22,D00097-A|D00097-B,0.23,Low
U00098,Pune,UPI,3580.7,1630.59,Netflix|Zerodha|BookMyShow|Spotify|Paytm,10,23,D00098-A|D00098-B,0.14,Low
U00099,Pune,NetBanking,4928.44,3426.9,Netflix|PhonePe|Amazon|Hotstar|Myntra,7,23,D00099-A|D00099-B,0.07,High
U00100,Ahmedabad,UPI,1139.97,364.98,Spotify|Myntra|BookMyShow|Uber|Ola,10,20,D00100-A|D00100-B,0.14,High
U00101,Kolkata,NetBanking,3072.58,1968.97,Netflix|BigBasket|Swiggy|IRCTC|Zerodha,7,19,D00101-A|D00101-B,0.07,Low
U00102,Pune,Card,481.54,214.03,Myntra|Netflix|Uber|Amazon|IRCTC,7,23,D00102-A|D00102-B,0.11,High
U00103,Pune,Wallet,4393.73,2685.04,MakeMyTrip|Uber|Paytm|Amazon|BookMyShow,7,22,D00103-A|D00103-B,0.03,High
U00104,Bangalore,UPI,4050.01,2516.27,Hotstar|Spotify|Amazon|IRCTC|Paytm,9,19,D00104-A|D00104-B,0.24,High
U00105,Bangalore,Card,4608.65,2296.95,MakeMyTrip|Ola|Zomato|Paytm|BigBasket,11,23,D00105-A|D00105-B,0.07,Low
U00106,Kolkata,Card,2255.37,1548.96,Uber|Myntra|Starbucks|Flipkart|MakeMyTrip,6,19,D00106-A|D00106-B,0.05,High
U00107,Kolkata,Wallet,4490.69,2499.4,Flipkart|IRCTC|Groww|Zomato|Starbucks,10,23,D00107-A|D00107-B,0.16,Medium
U00108,Kolkata,Card,4420.37,1272.51,Paytm|Ola|Netflix|McDonalds|Hotstar,6,22,D00108-A|D00108-B,0.12,Medium
U00109,Ahmedabad,NetBanking,1964.96,563.66,Zerodha|Swiggy|BookMyShow|Spotify|IRCTC,11,19,D00109-A|D00109-B,0.13,Medium
U00110,Ahmedabad,UPI,1955.19,1269.81,MakeMyTrip|McDonalds|Myntra|Ola|Uber,9,22,D00110-A|D00110-B,0.08,Medium
U00111,Bangalore,Card,1688.03,840.47,Netflix|PhonePe|Zerodha|Flipkart|Amazon,8,22,D00111-A|D00111-B,0.17,Low
U00112,Kolkata,UPI,2389.89,546.76,Swiggy|McDonalds|PhonePe|Flipkart|Paytm,10,21,D00112-A|D00112-B,0.2,Low
U00113,Kolkata,UPI,4092.15,2205.31,MakeMyTrip|Hotstar|Uber|Zomato|BigBasket,11,20,D00113-A|D00113-B,0.25,Medium
U00114,Mumbai,UPI,4592.38,2221.88,Spotify|Hotstar|Starbucks|McDonalds|Amazon,8,20,D00114-A|D00114-B,0.16,High
U00115,Hyderabad,NetBanking,2706.06,1416.04,Myntra|IRCTC|Ola|Paytm|Hotstar,9,21,D00115-A|D00115-B,0.19,Low
U00116,Delhi,Wallet,1234.67,539.34,McDonalds|Spotify|PhonePe|Swiggy|IRCTC,7,21,D00116-A|D00116-B,0.25,High
U00117,Bangalore,UPI,2780.92,1363.27,PhonePe|Netflix|McDonalds|Amazon|Zomato,9,23,D00117-A|D00117-B,0.17,High
U00118,Ahmedabad,Wallet,3490.8,1232.63,McDonalds|Spotify|IRCTC|Zerodha|Uber,7,21,D00118-A|D00118-B,0.1,Medium
U00119,Chennai,NetBanking,2352.97,1435.28,Groww|Swiggy|MakeMyTrip|Myntra|Amazon,7,21,D00119-A|D00119-B,0.11,Low
U00120,Ahmedabad,NetBanking,4999.85,1391.76,Zomato|Uber|Starbucks|Spotify|BookMyShow,10,22,D00120-A|D00120-B,0.12,Medium
U00121,Hyderabad,UPI,3505.54,2262.59,Zomato|Amazon|Zerodha|Myntra|BookMyShow,10,20,D00121-A|D00121-B,0.08,High
U00122,Ahmedabad,UPI,1538.24,463.69,Paytm|Netflix|MakeMyTrip|Amazon|Flipkart,8,21,D00122-A|D00122-B,0.19,High
U00123,Chennai,Card,4372.23,2010.7,BigBasket|Myntra|Uber|Netflix|Paytm,8,23,D00123-A|D00123-B,0.24,Low
U00124,Kolkata,Wallet,4337.58,2410.02,Flipkart|Swiggy|Netflix|BigBasket|Myntra,7,20,D00124-A|D00124-B,0.17,High
U00125,Mumbai,UPI,4616.27,1228.35,Uber|Starbucks|Zomato|IRCTC|BigBasket,10,20,D00125-A|D00125-B,0.21,Medium
U00126,Bangalore,Wallet,2482.38,1622.78,PhonePe|Flipkart|MakeMyTrip|Myntra|Amazon,10,21,D00126-A|D00126-B,0.24,Medium
U00127,Ahmedabad,Card,1268.27,399.04,PhonePe|Paytm|Zomato|Netflix|McDonalds,6,20,D00127-A|D00127-B,0.16,Low
U00128,Pune,NetBanking,3708.63,1748.35,Uber|Ola|Zerodha|Zomato|Spotify,7,22,D00128-A|D00128-B,0.14,Medium
U00129,Pune,Card,4854.34,2572.27,Flipkart|Zerodha|Uber|PhonePe|BookMyShow,10,21,D00129-A|D00129-B,0.19,High
U00130,Delhi,UPI,883.87,297.63,McDonalds|Flipkart|Myntra|MakeMyTrip|Netflix,6,19,D00130-A|D00130-B,0.19,High
U00131,Chennai,NetBanking,2834.14,1143.14,Hotstar|Amazon|Flipkart|BookMyShow|Paytm,10,23,D00131-A|D00131-B,0.03,Medium
U00132,Bangalore,Card,947.72,357.65,McDonalds|BigBasket|BookMyShow|Swiggy|Netflix,7,23,D00132-A|D00132-B,0.08,High
U00133,Chennai,UPI,3888.24,2432.67,BookMyShow|MakeMyTrip|Hotstar|Amazon|Flipkart,6,19,D00133-A|D00133-B,0.06,High
U00134,Chennai,UPI,3947.25,1025.96,BigBasket|Myntra|IRCTC|Swiggy|Ola,8,21,D00134-A|D00134-B,0.19,Low
U00135,Mumbai,Card,4204.8,2630.2,PhonePe|BigBasket|McDonalds|MakeMyTrip|Zerodha,8,21,D00135-A|D00135-B,0.22,High
U00136,Chennai,Wallet,4276.99,2337.7,Swiggy|PhonePe|Ola|MakeMyTrip|Starbucks,10,22,D00136-A|D00136-B,0.1,Medium
U00137,Bangalore,Card,4182.46,1622.09,BookMyShow|Zerodha|PhonePe|Flipkart|Starbucks,9,21,D00137-A|D00137-B,0.2,Medium
U00138,Chennai,Card,4693.65,955.86,Myntra|Groww|Uber|Zomato|PhonePe,7,19,D00138-A|D00138-B,0.21,Medium
U00139,Mumbai,NetBanking,3249.64,1588.24,Zerodha|PhonePe|McDonalds|Starbucks|Hotstar,9,21,D00139-A|D00139-B,0.11,High
U00140,Ahmedabad,Wallet,2358.51,1619.8,PhonePe|BookMyShow|Groww|McDonalds|IRCTC,8,23,D00140-A|D00140-B,0.06,Medium
U00141,Ahmedabad,Wallet,1662.69,691.9,Ola|Netflix|Flipkart|Zomato|Paytm,7,20,D00141-A|D00141-B,0.08,Medium
U00142,Chennai,NetBanking,3810.52,2034.62,MakeMyTrip|Swiggy|BookMyShow|Starbucks|IRCTC,6,23,D00142-A|D00142-B,0.23,Low
U00143,Hyderabad,NetBanking,3236.13,1316.71,Starbucks|IRCTC|BigBasket|PhonePe|Flipkart,10,22,D00143-A|D00143-B,0.19,Low
U00144,Hyderabad,UPI,1214.23,786.39,BigBasket|Spotify|Uber|McDonalds|Swiggy,10,19,D00144-A|D00144-B,0.09,High
U00145,Mumbai,Card,1926.72,790.16,Myntra|IRCTC|McDonalds|Swiggy|BigBasket,7,23,D00145-A|D00145-B,0.07,Low
U00146,Kolkata,UPI,2179.79,798.7,Paytm|Flipkart|Swiggy|Myntra|Hotstar,11,22,D00146-A|D00146-B,0.24,Low
U00147,Pune,UPI,3471.63,1059.18,Zerodha|MakeMyTrip|Starbucks|Groww|Swiggy,7,23,D00147-A|D00147-B,0.1,Medium
U00148,Mumbai,Wallet,1499.26,617.19,Ola|McDonalds|Zerodha|IRCTC|Zomato,11,22,D00148-A|D00148-B,0.06,Low
U00149,Kolkata,Card,3184.71,1249.41,Amazon|PhonePe|Uber|Myntra|Zomato,10,22,D00149-A|D00149-B,0.03,Medium
U00150,Ahmedabad,UPI,971.8,526.54,Spotify|Ola|McDonalds|Uber|Zomato,7,19,D00150-A|D00150-B,0.07,Low
U00151,Hyderabad,Card,2736.65,692.12,BigBasket|MakeMyTrip|Flipkart|Amazon|Myntra,9,21,D00151-A|D00151-B,0.21,High
U00152,Ahmedabad,Card,2351.98,757.87,Spotify|BookMyShow|Swiggy|Uber|Zerodha,7,23,D00152-A|D00152-B,0.22,High
U00153,Chennai,Card,4447.7,2146.45,Ola|Hotstar|IRCTC|PhonePe|Paytm,11,21,D00153-A|D00153-B,0.06,High
U00154,Chennai,Wallet,868.66,500.61,Groww|Uber|Flipkart|Spotify|PhonePe,9,19,D00154-A|D00154-B,0.18,High
U00155,Ahmedabad,Card,1421.42,294.29,IRCTC|Hotstar|McDonalds|Swiggy|Uber,9,19,D00155-A|D00155-B,0.13,Low
U00156,Hyderabad,Wallet,3145.24,1425.02,Amazon|Myntra|Swiggy|Spotify|BigBasket,11,22,D00156-A|D00156-B,0.24,Medium
U00157,Hyderabad,NetBanking,446.91,238.93,IRCTC|PhonePe|Amazon|Starbucks|Spotify,9,21,D00157-A|D00157-B,0.02,Medium
U00158,Bangalore,Wallet,1942.88,453.01,Swiggy|McDonalds|Myntra|Zomato|Netflix,7,22,D00158-A|D00158-B,0.21,Medium
U00159,Pune,Card,3815.62,2125.44,MakeMyTrip|Groww|BigBasket|Hotstar|Myntra,7,21,D00159-A|D00159-B,0.06,Low
U00160,Delhi,UPI,1610.63,687.03,MakeMyTrip|Uber|Paytm|Flipkart|Myntra,7,23,D00160-A|D00160-B,0.09,Medium
U00161,Hyderabad,Wallet,3242.28,994.0,McDonalds|Swiggy|BigBasket|Uber|Starbucks,9,22,D00161-A|D00161-B,0.03,Low
U00162,Hyderabad,NetBanking,4320.39,2644.17,Uber|PhonePe|IRCTC|BookMyShow|Myntra,8,21,D00162-A|D00162-B,0.17,Low
U00163,Mumbai,Card,4742.38,2731.35,Groww|Spotify|Ola|Swiggy|Zerodha,7,22,D00163-A|D00163-B,0.04,High
U00164,Kolkata,Card,4157.32,2065.77,Starbucks|PhonePe|Flipkart|Myntra|Zerodha,10,23,D00164-A|D00164-B,0.06,High
U00165,Mumbai,NetBanking,3291.86,2059.09,McDonalds|BookMyShow|Ola|IRCTC|Zomato,6,22,D00165-A|D00165-B,0.19,High
U00166,Mumbai,Card,3216.61,1653.86,Ola|PhonePe|Myntra|BookMyShow|Zomato,9,23,D00166-A|D00166-B,0.21,Low
U00167,Ahmedabad,NetBanking,2896.91,1561.84,Flipkart|Zerodha|Spotify|Swiggy|Paytm,10,23,D00167-A|D00167-B,0.11,Medium
U00168,Ahmedabad,NetBanking,1284.71,680.24,Hotstar|McDonalds|Spotify|Netflix|Uber,8,19,D00168-A|D00168-B,0.07,Low
U00169,Hyderabad,Card,2467.75,694.99,Netflix|MakeMyTrip|Amazon|Zerodha|McDonalds,7,20,D00169-A|D00169-B,0.03,Medium
U00170,Hyderabad,Card,3237.86,1011.65,Flipkart|IRCTC|Netflix|BigBasket|Paytm,9,20,D00170-A|D00170-B,0.11,Low
U00171,Kolkata,UPI,3921.31,847.07,Spotify|Starbucks|Uber|Swiggy|Hotstar,8,23,D00171-A|D00171-B,0.09,Medium
U00172,Delhi,UPI,1635.18,380.77,Uber|BigBasket|Paytm|Flipkart|Swiggy,9,20,D00172-A|D00172-B,0.21,Medium
U00173,Mumbai,Wallet,1886.61,429.7,MakeMyTrip|Zomato|Swiggy|Amazon|Hotstar,6,19,D00173-A|D00173-B,0.07,High
U00174,Mumbai,UPI,406.4,137.3,BigBasket|Amazon|Uber|Swiggy|Zomato,8,22,D00174-A|D00174-B,0.19,High
U00175,Bangalore,Card,307.13,136.25,McDonalds|Paytm|IRCTC|Myntra|Zomato,10,22,D00175-A|D00175-B,0.11,High
U00176,Bangalore,Card,1678.13,730.68,MakeMyTrip|Flipkart|PhonePe|Hotstar|BigBasket,6,19,D00176-A|D00176-B,0.12,Medium
U00177,Bangalore,Wallet,2401.96,1587.62,BigBasket|BookMyShow|Starbucks|Uber|Ola,9,20,D00177-A|D00177-B,0.15,Medium
U00178,Chennai,Wallet,2633.18,741.11,MakeMyTrip|Myntra|PhonePe|Zomato|Ola,8,23,D00178-A|D00178-B,0.24,Low
U00179,Hyderabad,UPI,1456.94,970.17,Uber|BigBasket|Zomato|BookMyShow|Myntra,10,19,D00179-A|D00179-B,0.24,Low
U00180,Delhi,Card,4961.91,2784.01,Zomato|MakeMyTrip|Myntra|Flipkart|Amazon,8,21,D00180-A|D00180-B,0.07,High
U00181,Mumbai,Wallet,1700.47,537.56,Starbucks|Ola|Hotstar|McDonalds|Groww,9,20,D00181-A|D00181-B,0.07,Low
U00182,Hyderabad,NetBanking,4287.97,908.03,Ola|Uber|Flipkart|BookMyShow|Amazon,7,19,D00182-A|D00182-B,0.15,Medium
U00183,Bangalore,UPI,2304.0,566.79,IRCTC|PhonePe|Netflix|Flipkart|Swiggy,9,21,D00183-A|D00183-B,0.17,Medium
U00184,Bangalore,NetBanking,3620.92,2349.5,BookMyShow|Paytm|Starbucks|BigBasket|Myntra,8,20,D00184-A|D00184-B,0.09,Low
